Plant Name,Capacity (MW),Project Status,Year of Commission,Technology,State,Country,Region,Estimated Annual CO2 Emission from Power Generation (1000 ton),Deal type,FDI?,Investing Company,Investing Country Ownership %,FDI Deal Type,Involving Chinese Policy bank?,Lender,Borrower,Source ,,,,,,
Musselroe,168,In Operation,2013,Wind,TAS,AUSTRALIA,Oceania,0,Greenfield,Yes,Shenhua Group,75,Greenfield,No,NA,NA,https://en.wikipedia.org/wiki/Musselroe_Wind_Farm,https://en.wikipedia.org/wiki/Musselroe_Wind_Farm,,,,,
Musselshell,20,In Operation,2012,Wind,MT,USA,North America,0,Greenfield,Yes,Xinjiang Goldwind Science & Technology (Goldwind),100,Greenfield,No,NA,NA,,,,,,,
Mustang Kings,100,In Operation,2016,Solar,CA,USA,North America,0,Greenfield,Yes,Canadian Solar,NA,Greenfield,No,NA,NA,"https://recurrentenergy.com/portfolio/mustang/ , http://investors.canadiansolar.com/news-releases/news-release-details/solar-frontier-americas-acquires-canadian-solars-210-mwp-mustang , https://www.pv-tech.org/news/recurrent-energys-100mw-mustang-solar-project-reaches-commercial-operation",,,,,,
Nadarivatu,40,In Operation,2012,Hydropower,Viti Levu,FIJI,Oceania,0,Policy bank only,No,NA,NA,NA,Yes,CDB,Government,http://www.mofcom.gov.cn/aarticle/i/jyjl/l/200903/20090306117781.html,,,,,,
Nagan Raya,220,In Operation,2013,Coal,Aceh,INDONESIA,Southeast Asia,1109,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,PLN (Perusahaan Listrik Negara),https://www.sourcewatch.org/index.php/Adipala_power_station,,,,,,
Nam Beng,36,In Operation,2017,Hydropower,Oudomxai,LAOS,Southeast Asia,0,Greenfield,Yes,China National Electrical Engineering Corporation,100,Greenfield,No,NA,NA,,,,,,,
Nam Chiane-1,104,In Operation,2018,Hydropower,Xaisomboun,LAOS,Southeast Asia,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,EDL,https://www.yidaiyilu.gov.cn/xwzx/hwxw/48811.htm,,http://www.gzbgj.ceec.net.cn/art/2018/5/17/art_7618_1648688.html,http://www.cggc.ceec.net.cn/art/2017/5/18/art_26614_1379036.html,http://www.chinadaily.com.cn/m/hubei/gezhouba/2012-05/02/content_17176655.htm,,
Nam Kham-2,130,In Operation,2016,Hydropower,Luang Prabang,LAOS,Southeast Asia,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,http://prabang.china-consulate.org/chn/lqxw/t1257285.htm,,,,,,
Nam Kham-3,60,In Operation,2016,Hydropower,Luang Prabang,LAOS,Southeast Asia,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,http://prabang.china-consulate.org/chn/lqxw/t1347087.htm,,http://eng.sinohydro.com/index.php?m=content&c=index&a=show&catid=117&id=269,,,,
Nam Lik-1,65,Under Construction,2019,Hydropower,Vientiane,LAOS,Southeast Asia,0,Greenfield,Yes,China Three Gorges Corporation,100,Greenfield,No,NA,NA,http://www.gpscgroup.com/en/business/project/167/nam-lik-1-power-company-limited-nl1pc,http://www.gpscgroup.com/en/business/project/167/nam-lik-1-power-company-limited-nl1pc,,,,,
Nam Lik-2,100,In Operation,2010,Hydropower,Vientiane,LAOS,Southeast Asia,0,Greenfield,Yes,China Three Gorges Corporation,100,Greenfield,No,NA,NA,https://www.hydropower.org/blog/better-hydro-asset-reliability-and-efficiency-at-nam-lik-1-2-laos,https://www.hydropower.org/blog/better-hydro-asset-reliability-and-efficiency-at-nam-lik-1-2-laos,,,,,
Nam Mang-3,40,In Operation,2004,Hydropower,Vientiane,LAOS,Southeast Asia,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,https://baike.baidu.com/item/%E5%8D%97%E6%A2%A63%E6%B0%B4%E7%94%B5%E7%AB%99,,,,,,
Nam Ngiep-2,180,In Operation,2015,Hydropower,Xiengkhouang,LAOS,Southeast Asia,0,Greenfield,Yes,China Three Gorges Corporation,100,Greenfield,No,NA,NA,https://cdm.unfccc.int/filestorage/9/P/V/9PVJGAKWTB0NQOC84FS5UDLIM21ZHY/PDD.pdf?t=UUd8cHh6NjRtfDClaXcAkc515qXABvn8f6nh,https://cdm.unfccc.int/filestorage/9/P/V/9PVJGAKWTB0NQOC84FS5UDLIM21ZHY/PDD.pdf?t=UUd8cHh6NjRtfDClaXcAkc515qXABvn8f6nh,,,,,
Nam Ngum-5,120,In Operation,2012,Hydropower,Xiengkhouang,LAOS,Southeast Asia,0,Greenfield,Yes,PowerChina,85,Greenfield,No,NA,NA,"https://www.internationalrivers.org/resources/nam-ngum-5-hydropower-project-begins-2930 , https://ppi.worldbank.org/snapshots/project/nam-ngum-5-hydropower-plant-6131",,,,,,
Nam Ou-1,180,Under Construction,2019,Hydropower,Phongsali,LAOS,Southeast Asia,0,Greenfield,Yes,PowerChina,85,Greenfield,No,NA,NA,"http://en.powerchina.cn/2018-05/25/content_36272986.htm , https://www.hydroworld.com/articles/2016/05/second-phase-of-1-156-mw-nam-ou-hydro-project-kicks-off-in-laos.html",,,,,,
Nam Ou-2,120,In Operation,2015,Hydropower,Luang Prabang,LAOS,Southeast Asia,0,FDI + Policy bank,Yes,PowerChina,85,Greenfield,Yes,CDB,Government,"http://asianews.eu/content/laos-power-company-closes-nam-ou-river-hydro-construction-milestone-60619 , http://en.powerchina.cn/2018-05/25/content_36272986.htm",,http://www.cec.org.cn/zdlhuiyuandongtai/qita/2016-12-08/162079.html,http://www.cdb.com.cn/xwzx/khdt/201803/t20180305_4971.html,http://damsandalternatives.blogspot.com/2011/04/sinohydro-cdb-ink-deal-for-nam-ou.html,http://www.lflq.com.cn/news-cont.aspx?mid=24&id=60,http://pr.powerchina.cn/g163/s920/t7292.aspx
Nam Ou-3,210,Under Construction,2020,Hydropower,Phongsali,LAOS,Southeast Asia,0,Greenfield,Yes,PowerChina,85,Greenfield,No,NA,NA,"http://en.powerchina.cn/2018-05/25/content_36272986.htm , https://www.hydroworld.com/articles/2016/05/second-phase-of-1-156-mw-nam-ou-hydro-project-kicks-off-in-laos.html",,,,,,
Nam Ou-4,132,Under Construction,2020,Hydropower,Phongsali,LAOS,Southeast Asia,0,Greenfield,Yes,PowerChina,85,Greenfield,No,NA,NA,"http://en.powerchina.cn/2018-05/25/content_36272986.htm , https://www.hydroworld.com/articles/2016/05/second-phase-of-1-156-mw-nam-ou-hydro-project-kicks-off-in-laos.html",,,,,,
Nam Ou-5,240,In Operation,2016,Hydropower,Phongsali,LAOS,Southeast Asia,0,FDI + Policy bank,Yes,PowerChina,85,Greenfield,Yes,CDB,Government,"http://asianews.eu/content/laos-power-company-closes-nam-ou-river-hydro-construction-milestone-60619 , http://en.powerchina.cn/2018-05/25/content_36272986.htm",,http://www.cec.org.cn/zdlhuiyuandongtai/qita/2016-12-08/162079.html,http://www.cdb.com.cn/xwzx/khdt/201803/t20180305_4971.html,http://damsandalternatives.blogspot.com/2011/04/sinohydro-cdb-ink-deal-for-nam-ou.html,http://www.lflq.com.cn/news-cont.aspx?mid=24&id=60,http://pr.powerchina.cn/g163/s920/t7292.aspx
Nam Ou-6,180,In Operation,2016,Hydropower,Phongsali,LAOS,Southeast Asia,0,FDI + Policy bank,Yes,PowerChina,85,Greenfield,Yes,CDB,Government,"http://asianews.eu/content/laos-power-company-closes-nam-ou-river-hydro-construction-milestone-60619 , http://en.powerchina.cn/2018-05/25/content_36272986.htm",,http://www.cec.org.cn/zdlhuiyuandongtai/qita/2016-12-08/162079.html,http://www.cdb.com.cn/xwzx/khdt/201803/t20180305_4971.html,http://damsandalternatives.blogspot.com/2011/04/sinohydro-cdb-ink-deal-for-nam-ou.html,http://www.lflq.com.cn/news-cont.aspx?mid=24&id=60,http://pr.powerchina.cn/g163/s920/t7292.aspx
Nam Ou-7,190,Under Construction,2020,Hydropower,Phongsali,LAOS,Southeast Asia,0,Greenfield,Yes,PowerChina,85,Greenfield,No,NA,NA,"http://en.powerchina.cn/2018-05/25/content_36272986.htm , https://www.hydroworld.com/articles/2016/05/second-phase-of-1-156-mw-nam-ou-hydro-project-kicks-off-in-laos.html",,,,,,
Nam Phay,86,Under Planning,Pending,Hydropower,Vientiane,LAOS,Southeast Asia,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,NORINCO International Cooperation Ltd,http://q.stock.sohu.com/newpdf/201832371790.pdf,,https://www.hydroworld.com/articles/2018/01/86-mw-nam-phay-hydropower-project-in-laos-officially-commissioned.html,,,,
Nam Tha-1,168,In Operation,2018,Hydropower,Luang Namtha,LAOS,Southeast Asia,0,FDI + Policy bank,Yes,China Southern Power Grid,Not Found,Greenfield,Yes,Ex-Im Bank,China Southern Power Grid & EDL,"http://namtha1.com/index.php?r=site/content&id=1 , http://www.china.org.cn/world/Off_the_Wire/2019-04/19/content_74699231.htm",,http://news.bjx.com.cn/html/20181022/935722.shtml,,,,
Nawng Pha,1200,Under Planning,Pending,Hydropower,Shan,MYANMAR,Southeast Asia,0,Greenfield,Yes,PowerChina,Not found,Greenfield,No,NA,NA,https://ejatlas.org/conflict/naung-pha-dam-on-the-salween-river-shan-state-myanmar,,,,,,
Neelum-Jhelum,968,In Operation,2018,Hydropower,AJK,PAKISTAN,South Asia,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,https://en.wikipedia.org/wiki/Neelum–Jhelum_Hydropower_Plant,,,,,,
Negrelo-Guilhado,10,In Operation,2013,Wind,Vila Real,PORTUGAL,Europe/Central Asia,0,M&A,Yes,China Three Gorges Corporation,50,M&A,No,NA,NA,http://old.sasac.gov.cn/n1808314/n2106300/n2106317/c2264904/content.html,,,,,,
Nelson North/Wm Grant,47,In Operation,2015,Wind,VIC,AUSTRALIA,Oceania,0,Greenfield,Yes,State Power Investment Corporation,Not Found,Greenfield,No,NA,NA,http://www.pacifichydro.com.au/english/projects/operations/pwep/cape-nelson-north-cape-sir-william-grant/,,,,,,
Nepc Barge,100,In Operation,2016,Gas,Dhaka,BANGLADESH,South Asia,297,M&A,Yes,China General Nuclear Power Group,55,M&A,No,NA,NA,https://wallstreetcn.com/articles/226484,,,,,,
Nilgen,100,Under Planning,Pending,Wind,WA,AUSTRALIA,Oceania,0,Greenfield,Yes,State Power Investment Corporation,Not found,Greenfield,No,NA,NA,http://pacifichydro.com/english/projects/australia/crowlands-wind-farm/,,,,,,
Ninho Da Aquia,10,In Operation,2017,Hydropower,MG,BRAZIL,LAC,0,M&A,Yes,State Grid Corporation of China,95,M&A,No,NA,NA,https://macauhub.com.mo/zh/2017/12/01/pt-grupo-china-state-grid-controla-9476-do-capital-da-brasileira-cpfl-energia/,,,,,,
Noor Abu Dhabi,1177,In Operation,2019,Solar,Abu Dhabi,UNITED ARAB EMIRATES,Middle East,0,Greenfield,Yes,Jinko Solar,20,Greenfield,No,NA,NA,"https://www.techspot.com/news/80740-uae-powers-noor-abu-dhabi-world-largest-solar.html , https://www.power-technology.com/news/noor-abu-dhabi-solar-power-plant-uae/",,,,,,
Norochcholai 1,300,In Operation,2011,Coal,North Western,SRI LANKA,South Asia,1512,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,CEB (Ceylon Electricity Board),http://powermin.gov.lk/english/?page_id=1517,,,,,,
Norochcholai 2-3,600,In Operation,2014,Coal,North Western,SRI LANKA,South Asia,3025,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,CEB (Ceylon Electricity Board),https://www.sourcewatch.org/index.php/Lakvijaya_Power_Plant,,,,,,
Novo Horizonte,25,In Operation,2017,Hydropower,PR,BRAZIL,LAC,0,M&A,Yes,State Grid Corporation of China,95,M&A,No,NA,NA,https://macauhub.com.mo/zh/2017/12/01/pt-grupo-china-state-grid-controla-9476-do-capital-da-brasileira-cpfl-energia/,,,,,,
Oakey Warrego,80,Under Planning,Pending,Solar,QLD,AUSTRALIA,Oceania,0,Greenfield,Yes,Canadian Solar,Not found,Greenfield,No,NA,NA,https://oakeysolarfarm.com.au,,,,,,
Olorunsogo -I,304,In Operation,2007,Gas,Ogun,NIGERIA,Africa,855,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,http://en.sepco.net.cn/index.php?m=Picture&a=show&id=18,,http://www.worldbank.org/projects/P112516/botswana-morupule-b-generation-transmission-project?lang=en,http://corporateandinvestment.standardbank.com/global/news_centre/news_centre.jsp?from=search&action=search&mediaid=383,http://china.aiddata.org/projects/173,,
Omotosho-I,335,In Operation,2007,Gas,Ondo,NIGERIA,Africa,942,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,http://www.premiumtimesng.com/business/127134-bpe-offers-omotosho-power-plant-to-chinese-investors.html,,http://china.aiddata.org/projects/869,http://fredstanly.com/GOlosogoPP11.html,,,
Ord Dam,30,In Operation,2016,Hydropower,WA,AUSTRALIA,Oceania,0,M&A,Yes,State Power Investment Corporation,100,M&A,No,NA,NA,http://www.spic.com.cn/gjyw/qyfl/,,,,,,
Ortiga,12,In Operation,2013,Wind,Leiria,PORTUGAL,Europe/Central Asia,0,M&A,Yes,China Three Gorges Corporation,50,M&A,No,NA,NA,http://old.sasac.gov.cn/n1808314/n2106300/n2106317/c2264904/content.html,,,,,,
Pacitan,630,In Operation,2013,Coal,East Java,INDONESIA,Southeast Asia,3176,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,PLN (Perusahaan Listrik Negara),http://globalenergyobservatory.org/geoid/43060,,https://ijglobal.com/articles/93861/icbc-poised-to-disburse-pactua-iii-loan,,,,
Padrela Enernova,8,In Operation,2013,Wind,Vila Real,PORTUGAL,Europe/Central Asia,0,M&A,Yes,China Three Gorges Corporation,50,M&A,No,NA,NA,http://old.sasac.gov.cn/n1808314/n2106300/n2106317/c2264904/content.html,,,,,,
Paiol,20,In Operation,2017,Hydropower,MG,BRAZIL,LAC,0,M&A,Yes,State Grid Corporation of China,95,M&A,No,NA,NA,https://macauhub.com.mo/zh/2017/12/01/pt-grupo-china-state-grid-controla-9476-do-capital-da-brasileira-cpfl-energia/,,,,,,
Paiton Baru,660,In Operation,2012,Coal,East Java,INDONESIA,Southeast Asia,3327,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,PLN (Perusahaan Listrik Negara),http://globalenergyobservatory.org/geoid/44714,,,,,,
Pak Beng,1083,Under Planning,Pending,Hydropower,Oudomxai,LAOS,Southeast Asia,0,Greenfield,Yes,China Datang,Not found,Greenfield,No,NA,NA,"https://www.nsenergybusiness.com/projects/pak-beng-hydropower-project/ , https://www.internationalrivers.org/node/10852",,,,,,
Pak Lay,770,Under Planning,Pending,Hydropower,Xaignabouri,LAOS,Southeast Asia,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,http://www.eximbank.gov.cn/tm/Newlist/index_343_30513.html,,,,,,
Palmeiras Guara,16,In Operation,2017,Hydropower,SP,BRAZIL,LAC,0,M&A,Yes,China Three Gorges Corporation,100,M&A,No,NA,NA,http://world.people.com.cn/n1/2016/1012/c1002-28770313.html,,,,,,
Paloch Field,85,In Operation,2012,Oil,Eastern Nile,SOUTH SUDAN,Africa,388,Greenfield,Yes,China National Petroleum Corporation,NA,Greenfield,No,NA,NA,,,,,,,
Panchagarh Rahimafroz,20,Under Planning,Pending,Solar,Rangpur,BANGLADESH,South Asia,0,Greenfield,Yes,Shunfeng Investment Limited,Not found,Greenfield,No,NA,NA,https://www.pv-magazine.com/2018/12/31/227-mw-of-solar-green-lit-for-bangladesh/,,,,,,
Pangal,35,In Operation,2016,Hydropower,VI Region,CHILE,LAC,0,M&A,Yes,State Power Investment Corporation,100,M&A,No,NA,NA,http://www.spic.com.cn/gjyw/qyfl/,,,,,,
Pangkalan Susu,440,In Operation,2018,Coal,North Sumatra,INDONESIA,Southeast Asia,2218,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Indonesian State Electricity Company,https://www.bappenas.go.id/files/4314/1387/1046/drppln-2014.pdf,,http://static.sse.com.cn/disclosure/listedinfo/announcement/c/2015-08-20/601669_20150820_1.pdf,http://bit.ly/Q7lp9y,,,
Paracuru,25,In Operation,2017,Wind,CE,BRAZIL,LAC,0,M&A,Yes,State Grid Corporation of China,95,M&A,No,NA,NA,https://macauhub.com.mo/zh/2017/12/01/pt-grupo-china-state-grid-controla-9476-do-capital-da-brasileira-cpfl-energia/,,,,,,
Parit Baru,100,In Operation,2018,Coal,West Kalimantan,INDONESIA,Southeast Asia,504,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,https://china.aiddata.org/projects/34992,,,,,,
Pawlowo Golancz,80,In Operation,2016,Wind,Wielkopolskie,POLAND,Europe/Central Asia,0,M&A,Yes,China Three Gorges Corporation,49,M&A,No,NA,NA,https://www.ebrd.com/work-with-us/projects/psd/pawlowo-wind-farm.html,https://www.ebrd.com/work-with-us/projects/psd/pawlowo-wind-farm.html,,,,,
Payra Patuakhali,1320,Under Construction,2019,Coal,Barisal,BANGLADESH,South Asia,6654,FDI + Policy bank,Yes,China General Technology,50,Greenfield,Yes,Ex-Im Bank,Bangladesh-China Power Company Limited,http://caiec.mofcom.gov.cn/article/g/201706/20170602597139.shtml,,,,,,
Pedra Cheirosa,48,In Operation,2017,Wind,CE,BRAZIL,LAC,0,Greenfield,Yes,State Grid Corporation of China,95,Greenfield,No,NA,NA,https://macauhub.com.mo/zh/2017/12/01/pt-grupo-china-state-grid-controla-9476-do-capital-da-brasileira-cpfl-energia/,,,,,,
Pedra Preta,21,In Operation,2017,Wind,RN,BRAZIL,LAC,0,M&A,Yes,State Grid Corporation of China,95,M&A,No,NA,NA,https://macauhub.com.mo/zh/2017/12/01/pt-grupo-china-state-grid-controla-9476-do-capital-da-brasileira-cpfl-energia/,,,,,,
Pelabuhan Ratu,945,In Operation,2013,Coal,West Java,INDONESIA,Southeast Asia,4763,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,PLN (Perusahaan Listrik Negara),https://www.sourcewatch.org/index.php/Pelabuhan_Ratu_power_station,,,,,,
Pena Suar 1,10,In Operation,2013,Wind,Porto,PORTUGAL,Europe/Central Asia,0,M&A,Yes,China Three Gorges Corporation,50,M&A,No,NA,NA,http://old.sasac.gov.cn/n1808314/n2106300/n2106317/c2264904/content.html,,,,,,
Pena Suar 2,6,In Operation,2013,Wind,Porto,PORTUGAL,Europe/Central Asia,0,M&A,Yes,China Three Gorges Corporation,50,M&A,No,NA,NA,http://old.sasac.gov.cn/n1808314/n2106300/n2106317/c2264904/content.html,,,,,,
Plano Alto,16,In Operation,2017,Hydropower,SC,BRAZIL,LAC,0,M&A,Yes,State Grid Corporation of China,95,M&A,No,NA,NA,https://macauhub.com.mo/zh/2017/12/01/pt-grupo-china-state-grid-controla-9476-do-capital-da-brasileira-cpfl-energia/,,,,,,
Pltu Jawa-7,2100,Under Construction,2021,Coal,Banten,INDONESIA,Southeast Asia,10585,FDI + Policy bank,Yes,Shenhua Group,NA,Greenfield,Yes,CDB,Shenhua Group and PT PLN subsidiary,"https://www.sourcewatch.org/index.php/Jawa-7_power_station , https://jakartaglobe.id/context/uncertainty-surrounds-jawa-7-power-project/",,https://ijglobal.com/data/transaction/32275/java-7-coal-fired-power-plant-2000mw-ppp,http://bit.ly/29rxfHj,,,
Pobeda,51,In Operation,2012,Solar,Burgas,BULGARIA,Europe/Central Asia,0,FDI + Policy bank,Yes,Hareon Solar,100,Greenfield,Yes,CDB,HareonAlpsHoldingAG(Bulgaria) 海润广伏(保加利亚),https://en.wikipedia.org/wiki/Pobeda_Solar_Park,,http://www.ne21.com/news/show-38172.html,,,,
Poro Solar,50,Under Planning,Pending,Solar,Savanes,COTE D'IVOIRE,Africa,0,Greenfield,Yes,Canadian Solar,Not found,Greenfield,No,NA,NA,"https://www.pv-magazine.com/2018/05/31/ivory-coast-moves-forward-with-first-solar-park/ , https://oxfordbusinessgroup.com/overview/boosting-capacity-traditional-and-renewable-sources-are-targeted-address-growing-energy-demand-and",,,,,,
Port Qasim Datang,700,Under Planning,Pending,Coal,Sindh,PAKISTAN,South Asia,3529,Greenfield,Yes,China Datang,Not found,Greenfield,No,NA,NA,https://www.gem.wiki/Port_Qasim_Datang_power_station#cite_note-8,,,,,,
Port Qasim Thermal 1,1320,In Operation,2017,Coal,Sindh,PAKISTAN,South Asia,6654,FDI + Policy bank,Yes,PowerChina,51,Greenfield,Yes,Ex-Im Bank,Joint,"https://www.power-technology.com/projects/port-qasim-coal-fired-power-plant-karachi/ , http://cpec.gov.pk/project-details/1 https://en.wikipedia.org/wiki/Pakistan_Port_Qasim_Power_Project",,,,,,
Port Said East,728,In Operation,2016,Gas,Bur Said,EGYPT,Africa,2048,M&A,Yes,China General Nuclear Power Group,100,M&A,No,NA,NA,"Dealogic , https://www.industryabout.com/country-territories-3/1539-egypt/fossil-fuels-energy/22740-port-said-east-oil-power-plant",,,,,,
Prairie Solar Farm,240,Under Planning,Pending,Solar,VIC,AUSTRALIA,Oceania,0,Greenfield,Yes,State Power Investment Corporation,Not found,Greenfield,No,NA,NA,http://www.pacifichydro.com.au/english/projects/development/prairie-solar-farm/,,,,,,
Presidente Nestor Kirchner,600,Under Construction,2019,Hydropower,Santa Cruz,ARGENTINA,LAC,0,Policy bank only,No,NA,NA,NA,Yes,CDB,Government,http://www.laht.com/article.asp?ArticleId=2344453&CategoryId=14093,,,,,,
Priozernaya,55,In Operation,2013,Solar,Odessa,UKRAINE,Europe/Central Asia,0,Greenfield,Yes,China National Building Material,100,Greenfield,No,NA,NA,https://www.pv-magazine.com/2013/04/04/activ-solar-adds-127-5-mw-of-pv-in-the-ukraine_100010785/,https://www.pv-magazine.com/2013/04/04/activ-solar-adds-127-5-mw-of-pv-in-the-ukraine_100010785/,,,,,
Project Kedah,50,In Operation,2019,Solar,Kedah,MALAYSIA,Southeast Asia,0,Greenfield,Yes,China General Nuclear Power Group,Not found,Greenfield,No,NA,NA,https://www.pv-magazine.com/2019/09/12/50-mw-solar-park-comes-online-in-malaysia/,,,,,,
Ps Las Viborillas,100,Under Planning,Pending,Solar,JAL,MEXICO,LAC,0,Greenfield,Yes,JINKOSOLAR HOLDING CO LTD,Not found,Greenfield,No,NA,NA,https://www.pv-tech.org/news/jinkopower-connects-100mw-mexican-solar-project-to-the-grid,,,,,,
Ps Solar Calera,80,Under Planning,Pending,Solar,ZAC,MEXICO,LAC,0,Greenfield,Yes,Trina Solar,Not found,Greenfield,No,NA,NA,http://www.macf.com.mx/wp-content/uploads/2018/01/Wind-breaks-global-record-in-green-energy-pricing-in-Mexico-1.pdf,,,,,,
Punagaya,405,In Operation,2018,Coal,South Sulawesi,INDONESIA,Southeast Asia,2041,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Indonesian State Electricity Company,http://www.sourcewatch.org/index.php/Takalar_power_station,,https://www.yidaiyilu.gov.cn/info/iList.jsp?tm_id=126&cat_id=10005&info_id=62513,,,,
Punta Sierra,82,In Operation,2018,Wind,IV Region,CHILE,LAC,0,Greenfield,Yes,State Power Investment Corporation,100,Greenfield,No,NA,NA,"http://pacifichydro.com/english/projects/chile/punta-sierra-wind-farm/ , https://santiagotimes.cl/2018/08/25/chile-inaugurates-82mw-punta-sierra-wind-farm/",,,,,,
Quaid-E-Azam Solar-1,100,In Operation,2015,Solar,Punjab,PAKISTAN,South Asia,0,Greenfield,Yes,ZTE,100,Greenfield,No,NA,NA,"http://www.xinhuanet.com/world/2015-04/26/c_1115091405.htm , https://www.beltroad-initiative.com/quaid-e-azam-solar-park/",,,,,,
Quaid-E-Azam Solar-2,300,In Operation,2016,Solar,Punjab,PAKISTAN,South Asia,0,FDI + Policy bank,Yes,ZTE,100,Greenfield,Yes,CDB-Ex-Im Cofinancing,Government,"http://cen.ce.cn/more/201703/27/t20170327_21444529.shtml?from=timeline&isappinstalled=0 , https://www.beltroad-initiative.com/quaid-e-azam-solar-park/",,http://cpec.gov.pk/project-details/10,http://pk.chineseembassy.org/eng/zbgx/CPEC/t1627101.htm,https://en.wikipedia.org/wiki/Quaid-e-Azam_Solar_Park,http://www.cpecinfo.com/energy-generation,http://pk.chineseembassy.org/eng/zbgx/P020181230760035767518.pdf
Quaid-E-Azam Solar-3,100,In Operation,2018,Solar,Punjab,PAKISTAN,South Asia,0,Greenfield,Yes,ZTE,100,Greenfield,No,CDB-Ex-Im Cofinancing,Government,"http://cpec.gov.pk/project-details/10 , https://www.beltroad-initiative.com/quaid-e-azam-solar-park/",,,,,,
Quang Ninh,300,In Operation,2010,Coal,Quang Ninh,VIETNAM,Southeast Asia,1512,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,https://www.sourcewatch.org/index.php/International_Chinese_coal_projects,,,,,,
Rabbit Ridge,16,Under Planning,Pending,Wind,QLD,AUSTRALIA,Oceania,0,Greenfield,Yes,Xinjiang Goldwind Science & Technology (Goldwind),Not found,Greenfield,No,NA,NA,https://freetimes.com.au/news/2019-05-23/wind-farm-out-of-puff/,,,,,,
Radstone Solar,5,In Operation,2016,Solar,Northamptonshire,UK,Europe/Central Asia,0,M&A,Yes,Panda Green Energy Group,100,M&A,No,NA,NA,,,,,,,
Raia-Pousafoles,28,In Operation,2013,Wind,Sabugal,PORTUGAL,Europe/Central Asia,0,Greenfield,Yes,China Three Gorges Corporation,50,Greenfield,No,NA,NA,http://old.sasac.gov.cn/n1808314/n2106300/n2106317/c2264904/content.html,,,,,,
Ramu Basamuk Refinery,67,In Operation,2009,Oil,Madang,PAPUA NEW GUINEA,Southeast Asia,231,Greenfield,Yes,Metallurgical Corporation of China,NA,Greenfield,No,NA,NA,,,,,,,
Ramu-2,210,Under Planning,Pending,Hydropower,Eastern Highlands,PAPUA NEW GUINEA,Southeast Asia,0,Greenfield,Yes,Shenzhen Energy Corporation,Not found,Greenfield,No,NA,NA,https://postcourier.com.pg/us2b-ramu-2-hydro-power-project-stalled/,,,,,,
Rattlesnake Mcculloch,160,In Operation,2016,Wind,TX,USA,North America,0,M&A,Yes,Xinjiang Goldwind Science & Technology (Goldwind),NA,M&A,No,NA,NA,"https://www.windpowerengineering.com/projects/rattlesnake-wind-project-construction-texas/ , https://www.goldwindamericas.com/goldwind-americas-signs-160-mw-texas-deal-res-0",,,,,,
Recurrent Astoria,175,In Operation,2015,Solar,CA,USA,North America,0,M&A,Yes,Canadian Solar,100,M&A,No,NA,NA,https://recurrentenergy.com/portfolio/astoria-portfolio/,https://recurrentenergy.com/portfolio/astoria-portfolio/,,,,,
Rembang,632,In Operation,2011,Coal,Central Java,INDONESIA,Southeast Asia,3186,Policy bank only,No,NA,NA,NA,Yes,CDB,,http://www.thejakartapost.com/news/2009/02/25/pln-secures-part-loans-needed-10000-mw-program.html,,http://venturesafrica.com/chinas-exim-bank-grants-500-million-to-ivory-coast-for-hydropower-plant/,http://www.wjyfj.com/newsinfo.aspx?NId=13995&NodeID=106,,,
Retiro Duke,16,In Operation,2017,Hydropower,SP,BRAZIL,LAC,0,M&A,Yes,China Three Gorges Corporation,100,M&A,No,NA,NA,http://world.people.com.cn/n1/2016/1012/c1002-28770313.html,,,,,,
Rijnmond,780,In Operation,2011,Gas,ZH,NETHERLANDS,Europe/Central Asia,1857,M&A,Yes,China Huaneng Group,50,M&A,No,NA,NA,"http://www.chng.com.cn/n31533/n31685/n106253/n709042/index.html , http://globalenergyobservatory.org/geoid/44497",,,,,,
Rio Grande Mojave,5,In Operation,2015,Solar,CA,USA,North America,0,M&A,Yes,Canadian Solar,100,M&A,No,NA,NA,,,,,,,
Risen Chulakkurgan,63,Under Planning,Pending,Solar,South Kazakhstan,KAZAKHSTAN,Europe/Central Asia,0,Greenfield,Yes,RISEN ENERGY CO LTD,Not found,Greenfield,No,NA,NA,https://www.ebrd.com/work-with-us/projects/psd/chulakkurgan-solar.html,,,,,,
