Plant Name,Capacity (MW),Project Status,Year of Commission,Technology,State,Country,Region,Estimated Annual CO2 Emission from Power Generation (1000 ton),Deal type,FDI?,Investing Company,Investing Country Ownership %,FDI Deal Type,Involving Chinese Policy bank?,Lender,Borrower,Source ,,,,,,
Bin Qasim-1 No 2,210,In Operation,2018,Gas,Sindh,PAKISTAN,South Asia,625,M&A,Yes,State Power Investment Corporation,66,M&A,No,NA,NA,http://www.sohu.com/a/196179709_771896,,,,,,
Bin Qasim-1 No 3,210,In Operation,2018,Oil,Sindh,PAKISTAN,South Asia,725,M&A,Yes,State Power Investment Corporation,66,M&A,No,NA,NA,http://www.sohu.com/a/196179709_771896,,,,,,
Bin Qasim-1 No 5,210,In Operation,2018,Gas,Sindh,PAKISTAN,South Asia,625,M&A,Yes,State Power Investment Corporation,66,M&A,No,NA,NA,http://www.sohu.com/a/196179709_771896,,,,,,
Bin Qasim-1 No 6,210,In Operation,2018,Gas,Sindh,PAKISTAN,South Asia,625,M&A,Yes,State Power Investment Corporation,66,M&A,No,NA,NA,http://www.sohu.com/a/196179709_771896,,,,,,
Bini A Warak,75,Under Construction,2020,Hydropower,Adamaoua,CAMEROON,Africa,0,Greenfield,Yes,PowerChina,100,Greenfield,No,NA,NA,Platts,,,,,,
Bio Buriti,50,In Operation,2017,Biomass,SP,BRAZIL,LAC,0,M&A,Yes,State Grid Corporation of China,95,M&A,No,NA,NA,https://renewablesnow.com/news/cpfl-energia-to-invest-usd-361m-in-biomass-power-generation-report-17350/,https://renewablesnow.com/news/cpfl-energia-to-invest-usd-361m-in-biomass-power-generation-report-17350/,,,,,
Bio Formosa,40,In Operation,2017,Biomass,RN,BRAZIL,LAC,0,M&A,Yes,State Grid Corporation of China,95,M&A,No,NA,NA,https://macauhub.com.mo/zh/2017/12/01/pt-grupo-china-state-grid-controla-9476-do-capital-da-brasileira-cpfl-energia/,,,,,,
Bio Ipe,25,In Operation,2017,Biomass,SP,BRAZIL,LAC,0,M&A,Yes,State Grid Corporation of China,95,M&A,No,NA,NA,https://macauhub.com.mo/zh/2017/12/01/pt-grupo-china-state-grid-controla-9476-do-capital-da-brasileira-cpfl-energia/,,,,,,
Bio Pedra,70,In Operation,2017,Biomass,SP,BRAZIL,LAC,0,M&A,Yes,State Grid Corporation of China,95,M&A,No,NA,NA,https://macauhub.com.mo/zh/2017/12/01/pt-grupo-china-state-grid-controla-9476-do-capital-da-brasileira-cpfl-energia/,,,,,,
Bioformosa,40,In Operation,2017,Biomass,RN,BRAZIL,LAC,0,M&A,Yes,State Grid Corporation of China,95,M&A,No,NA,NA,https://macauhub.com.mo/zh/2017/12/01/pt-grupo-china-state-grid-controla-9476-do-capital-da-brasileira-cpfl-energia/,,,,,,
